Best fortunes responses per second, Dell R440 Xeon Gold + 10 GbE(464 tests)
Rnk	Framework	Best performance (higher is better)	Errors	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA
248	grizzly-jersey	61,945	10.0%	0	Mcr	Jav	JAX	Grz	Lin	My	Lin	Ful	Rea
249	falco, donald	61,852	10.0%	0	Mcr	f#	.NE	kes	Lin	Pg	Lin	Mcr	Rea
250	nestjs-fastify-mongo	61,033	9.9%	0	Mcr	typ	Non	Non	Lin	Mo	Lin	Ful	Rea
251	jawn	60,879	9.9%	0	Ful	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea
252	officefloor-undertow	60,192	9.8%	0	Ful	Jav	off	Utw	Lin	Pg	Lin	Ful	Rea
253	roa-pg	59,426	9.6%	0	Mcr	rs	Non	hyp	Lin	Pg	Lin	Raw	Rea
254	cutelyst-thread-my-cutelee	59,257	9.6%	0	Ful	C++	cut	Non	Lin	My	Lin	Raw	Rea
255	dropwizard-postgres	59,104	9.6%	0	Ful	Jav	JAX	Jty	Lin	Pg	Lin	Ful	Rea
256	sanic	59,032	9.6%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
257	 phoenix	58,940	9.6%	0	Ful	Eli	Cow	Non	Lin	Pg	Lin	Ful	Rea
258	ktor	58,447	9.5%	0	Mcr	Kot	Nty	Non	Lin	Pg	Lin	Raw	Rea
259	roa-diesel	57,879	9.4%	0	Mcr	rs	Non	hyp	Lin	Pg	Lin	Ful	Rea
260	imi-workerman	57,504	9.3%	0	Ful	PHP	wor	Non	Lin	My	Lin	Ful	Rea
261	apidaora	57,284	9.3%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
262	officefloor-netty	56,715	9.2%	0	Ful	Jav	off	Nty	Lin	Pg	Lin	Ful	Rea
263	play2-scala-anorm-netty	55,761	9.0%	0	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea
264	axum [postgresql - sqlx]	55,475	9.0%	0	Ful	rs	rs	hyp	Lin	Pg	Lin	Raw	Rea
265	officefloor-micro	55,003	8.9%	0	Ful	Jav	off	woo	Lin	Pg	Lin	Raw	Rea
266	 aspcore-mono-mw-pg	54,682	8.9%	0	Mcr	C#	.NE	kes	Lin	Pg	Lin	Raw	Rea
267	play2-java-jooq-hikaricp	54,342	8.8%	0	Ful	Jav	Akk	Non	Lin	My	Lin	Ful	Rea
268	amp	54,231	8.8%	0	Plt	PHP	amp	Non	Lin	My	Lin	Raw	Rea
269	cfml-adobe	54,226	8.8%	0	Plt	cfm	Non	Non	Lin	Pg	Lin	Raw	Rea
270	opium-haproxy	54,101	8.8%	0	Mcr	oca	htt	hap	Lin	Pg	Lin	Mcr	Rea
271	play2-scala-slick-netty	53,849	8.7%	0	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea
272	spliffy	53,239	8.6%	0	Mcr	JS	njs	µws	Lin	Mo	Lin	Raw	Rea
273	cfml-lucee	53,172	8.6%	0	Plt	cfm	Non	Non	Lin	Pg	Lin	Raw	Rea
274	http4s	53,041	8.6%	0	Mcr	Sca	NIO	bla	Lin	Pg	Lin	Raw	Rea
275	vibe.d-ldc	52,043	8.4%	0	Plt	D	Non	Non	Lin	Mo	Lin	Mcr	Rea
276	duckphp	51,801	8.4%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
277	play2-java-ebean-hikaricp	51,201	8.3%	0	Ful	Jav	Akk	Non	Lin	My	Lin	Ful	Rea
278	fastapi-orjson	50,877	8.3%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
279	fastapi	50,608	8.2%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
280	roda-sequel-postgres	50,323	8.2%	0	Mcr	Rby	Rac	Pum	Lin	Pg	Lin	Ful	Rea
281	play2-scala-anorm	50,052	8.1%	0	Ful	Sca	Akk	Non	Lin	My	Lin	Ful	Rea
282	peachpie	50,051	8.1%	0	Plt	PHP	.NE	kes	Lin	My	Lin	Raw	Rea
283	vibe.d	49,791	8.1%	0	Mcr	D	Non	Non	Lin	Mo	Lin	Mcr	Rea
284	dropwizard	49,757	8.1%	0	Ful	Jav	JAX	Jty	Lin	My	Lin	Ful	Rea
285	nodejs-mysql	49,130	8.0%	0	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea
286	koa-postgres	48,826	7.9%	0	Mcr	JS	njs	Non	Lin	Pg	Lin	Raw	Rea
287	roda-sequel	48,435	7.9%	0	Mcr	Rby	Rac	Pum	Lin	My	Lin	Ful	Rea
288	officefloor	47,785	7.7%	0	Ful	Jav	off	woo	Lin	Pg	Lin	Ful	Rea
289	mixphp	46,821	7.6%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Mcr	Rea
290	aiohttp-pg-raw	46,789	7.6%	0	Mcr	Py	asy	Gun	Lin	Pg	Lin	Raw	Rea
291	http-kit	46,698	7.6%	0	Plt	Clj	Rin	Non	Lin	My	Lin	Mcr	Rea
292	imi-workerman-pgsql	45,894	7.4%	0	Ful	PHP	wor	Non	Lin	Pg	Lin	Ful	Rea
293	compojure	45,427	7.4%	0	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea
294	koa-mysql	43,637	7.1%	0	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea
295	play2-scala-slick	42,972	7.0%	0	Ful	Sca	Akk	Non	Lin	My	Lin	Ful	Rea
296	hummingbird	42,417	6.9%	0	Mcr	Swi	Non	Non	Lin	Pg	Lin	Raw	Rea
297	http4k	42,272	6.9%	0	Mcr	Kot	sun	Non	Lin	Pg	Lin	Raw	Rea
298	httpserver-postgres	41,559	6.7%	0	Plt	Jav	htt	Non	Lin	Pg	Lin	Raw	Rea
299	akka-http-slick-postgres	41,203	6.7%	0	Mcr	Sca	Akk	Non	Lin	Pg	Lin	Ful	Rea
300	 express-postgres	40,737	6.6%	0	Mcr	JS	njs	Non	Lin	Pg	Lin	Ful	Rea
301	treefrog-epoll	40,652	6.6%	0	Ful	C++	Non	Non	Lin	Pg	Lin	Mcr	Rea
302	roa-sqlx	40,638	6.6%	0	Mcr	rs	Non	hyp	Lin	Pg	Lin	Raw	Rea
303	officefloor-vertx	40,269	6.5%	0	Ful	Jav	off	vtx	Lin	Pg	Lin	Ful	Rea
304	start	39,626	6.4%	0	Mcr	Dar	Non	ngx	Lin	Mo	Lin	Raw	Rea
305	roda-sequel-postgres-passenger-mri	39,409	6.4%	0	Mcr	Rby	Rac	Pas	Lin	Pg	Lin	Ful	Rea
306	roda-sequel-passenger-mri	38,714	6.3%	0	Mcr	Rby	Rac	Pas	Lin	My	Lin	Ful	Rea
307	vibe.d-ldc-pgsql	38,437	6.2%	0	Plt	D	Non	Non	Lin	Pg	Lin	Raw	Rea
308	vibe.d-pgsql	38,348	6.2%	0	Plt	D	Non	Non	Lin	Pg	Lin	Raw	Rea
309	frank, dapper	38,278	6.2%	0	Mcr	f#	.NE	kes	Lin	Pg	Lin	Mcr	Rea
310	hapi-postgres	38,062	6.2%	0	Mcr	JS	njs	Non	Lin	Pg	Lin	Ful	Rea
311	nestjs	37,547	6.1%	0	Mcr	typ	Non	Non	Lin	Pg	Lin	Ful	Rea
312	spark	37,482	6.1%	0	Mcr	Jav	Svt	Jty	Lin	My	Lin	Ful	Rea
313	tapestry	37,272	6.0%	0	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea
314	wicket	37,233	6.0%	0	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea
315	roda-sequel-unicorn-mri	37,070	6.0%	0	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea
316	blade	36,713	6.0%	0	Ful	Jav	Non	Non	Lin	My	Lin	Ful	Rea
317	yii2-workerman	36,625	5.9%	0	Ful	PHP	wor	Non	Lin	My	Lin	Ful	Rea
318	phalcon-micro	36,254	5.9%	0	Mcr	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
319	flask-raw	36,243	5.9%	0	Mcr	Py	Mei	Non	Lin	Pg	Lin	Raw	Rea
320	ktor-reactivepg	36,226	5.9%	0	Ful	Kot	Non	Non	Lin	Pg	Lin	Raw	Rea
321	hapi-mysql	35,605	5.8%	0	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea
322	nestjs-mysql	35,244	5.7%	0	Mcr	typ	Non	Non	Lin	My	Lin	Ful	Rea
323	stream	34,514	5.6%	0	Mcr	Dar	Non	ngx	Lin	Mo	Lin	Raw	Rea
324	roda-sequel-postgres-unicorn-mri	34,391	5.6%	112	Mcr	Rby	Rac	Uni	Lin	Pg	Lin	Ful	Rea
325	yii2-raw	33,752	5.5%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
326	starlette	33,647	5.5%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
327	bottle-raw	33,182	5.4%	0	Mcr	Py	Mei	Non	Lin	My	Lin	Raw	Rea
328	nestjs-mongo	33,090	5.4%	0	Mcr	typ	Non	Non	Lin	Mo	Lin	Ful	Rea
329	spiral	32,721	5.3%	0	Ful	PHP	roa	Non	Lin	My	Lin	Ful	Rea
330	sinatra-sequel-unicorn-mri	32,465	5.3%	0	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea
331	 express-mysql	32,016	5.2%	0	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea
332	sinatra-sequel	31,506	5.1%	0	Mcr	Rby	Rac	Pum	Lin	My	Lin	Ful	Rea
333	sinatra-sequel-postgres	31,386	5.1%	0	Mcr	Rby	Rac	Pum	Lin	Pg	Lin	Ful	Rea
334	 aspcore-mono-mvc-pg	31,246	5.1%	0	Ful	C#	.NE	kes	Lin	Pg	Lin	Raw	Rea
335	starlite	30,918	5.0%	0	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
336	racket	30,657	5.0%	0	Mcr	rac	rac	rac	Lin	Pg	Lin	Raw	Rea
337	sinatra-sequel-postgres-unicorn-mri	30,615	5.0%	0	Mcr	Rby	Rac	Uni	Lin	Pg	Lin	Ful	Rea
338	slim	30,026	4.9%	0	Mcr	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
339	hot-mysql	29,642	4.8%	67	Plt	Grv	Jty	Jty	Lin	My	Lin	Raw	Rea
340	ktor-jasync	29,479	4.8%	0	Ful	Kot	Non	Non	Lin	Pg	Lin	Raw	Rea
341	php-eloquent	27,869	4.5%	0	Plt	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
342	elixir-plug-ecto	27,308	4.4%	0	Mcr	Eli	bea	cow	Lin	Pg	Lin	Ful	Rea
343	wildfly-ee	26,395	4.3%	0	Ful	Jav	Svt	Wil	Lin	My	Lin	Ful	Rea
344	sinatra-sequel-postgres-passenger-mri	26,352	4.3%	0	Mcr	Rby	Rac	Pas	Lin	Pg	Lin	Ful	Rea
345	sinatra-sequel-passenger-mri	25,930	4.2%	0	Mcr	Rby	Rac	Pas	Lin	My	Lin	Ful	Rea
346	trillium	25,564	4.1%	0	Mcr	rs	Non	Non	Lin	Pg	Lin	Ful	Rea
347	codeigniter	24,904	4.0%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
348	fat-free-raw	24,093	3.9%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
349	warp-rust	23,250	3.8%	0	Mcr	rs	rs	hyp	Lin	Pg	Lin	Raw	Rea
350	revenj	22,891	3.7%	0	Ful	C#	Non	Non	Lin	Pg	Lin	Ful	Rea
351	 spring	22,478	3.6%	0	Ful	Jav	tom	Non	Lin	Pg	Lin	Mcr	Rea
352	quart-uvicorn	22,466	3.6%	0	Mcr	Py	Non	uvi	Lin	Pg	Lin	Raw	Rea
353	cppcms-postgres	21,945	3.6%	0	Plt	C++	Non	Non	Lin	Pg	Lin	Raw	Rea
354	 spring-mongo	21,771	3.5%	0	Ful	Jav	tom	Non	Lin	Mo	Lin	Ful	Rea
355	falcon	21,743	3.5%	0	Mcr	Py	Wsg	Mei	Lin	Pg	Lin	Ful	Rea
356	falcon [meinheld-orjson]	21,557	3.5%	0	Mcr	Py	Wsg	Mei	Lin	Pg	Lin	Ful	Rea
357	yii2	21,317	3.5%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
358	ninja-standalone	21,185	3.4%	0	Ful	Jav	Jty	Non	Lin	My	Lin	Ful	Rea
359	cppcms	20,916	3.4%	0	Plt	C++	Non	Non	Lin	My	Lin	Raw	Rea
360	 spring-jpa	20,768	3.4%	0	Ful	Jav	tom	Non	Lin	Pg	Lin	Ful	Rea
361	phalcon-mongodb	20,602	3.3%	0	Ful	PHP	fpm	ngx	Lin	Mo	Lin	Raw	Rea
362	ktor-jetty	20,539	3.3%	0	Mcr	Kot	Jty	Non	Lin	Pg	Lin	Raw	Rea
363	sinatra-sequel-postgres-torquebox-jruby	20,522	3.3%	0	Mcr	Rby	Rac	Tor	Lin	Pg	Lin	Ful	Rea
364	tornado-py3-uvloop	20,332	3.3%	0	Plt	Py	Non	Tor	Lin	Pg	Lin	Raw	Rea
365	phalcon	20,098	3.3%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
366	sinatra-sequel-torquebox-jruby	19,452	3.2%	0	Mcr	Rby	Rac	Tor	Lin	My	Lin	Ful	Rea
367	go-mgo	19,377	3.1%	0	Plt	Go	Non	Non	Lin	Mo	Lin	Raw	Rea
368	duct-httpkit	18,563	3.0%	0	Mcr	Clj	Rin	Non	Lin	Pg	Lin	Raw	Rea
369	fat-free	18,562	3.0%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
370	dropwizard-mongodb	18,150	2.9%	0	Ful	Jav	JAX	Jty	Lin	Mo	Lin	Ful	Rea
371	lumen-swoole	17,005	2.8%	0	Mcr	PHP	swo	Non	Lin	My	Lin	Ful	Rea
372	grails	16,993	2.8%	0	Ful	Grv	Svt	Non	Lin	My	Lin	Ful	Rea
373	morepath	16,905	2.7%	0	Mcr	Py	Mei	Gun	Lin	Pg	Lin	Ful	Rea
374	 laravel-laravel-s	16,657	2.7%	0	Ful	PHP	swo	Non	Lin	My	Lin	Ful	Rea
375	 spring-webflux-mongo	16,573	2.7%	0	Ful	Jav	Nty	Non	Lin	Mo	Lin	Ful	Rea
376	play2-scala-reactivemongo-netty	16,480	2.7%	0	Ful	Sca	Nty	Non	Lin	Mo	Lin	Ful	Rea
377	aiohttp	16,436	2.7%	0	Mcr	Py	asy	Gun	Lin	Pg	Lin	Ful	Rea
378	play2-scala-reactivemongo	16,392	2.7%	0	Ful	Sca	Akk	Non	Lin	Mo	Lin	Ful	Rea
379	emmett	16,327	2.6%	0	Ful	Py	Non	Non	Lin	Pg	Lin	Ful	Rea
380	sinatra-unicorn-mri	16,254	2.6%	0	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea
381	sinatra-postgres-unicorn-mri	16,253	2.6%	0	Mcr	Rby	Rac	Uni	Lin	Pg	Lin	Ful	Rea
382	 laravel-swoole	16,004	2.6%	0	Ful	PHP	swo	Non	Lin	My	Lin	Ful	Rea
383	pyramid	15,884	2.6%	0	Ful	Py	Non	Mei	Lin	Pg	Lin	Ful	Rea
384	 django-postgresql	15,573	2.5%	0	Ful	Py	Non	Mei	Lin	Pg	Lin	Ful	Rea
385	 spring-webflux-pgclient	15,294	2.5%	0	Ful	Jav	Nty	Non	Lin	Pg	Lin	Mcr	Rea
386	weppy-py3	15,226	2.5%	0	Ful	Py	Mei	Non	Lin	Pg	Lin	Ful	Rea
387	 spring-webflux-jdbc	15,048	2.4%	0	Ful	Jav	Nty	Non	Lin	Pg	Lin	Mcr	Rea
388	 django	15,038	2.4%	0	Ful	Py	Non	Mei	Lin	My	Lin	Ful	Rea
389	micronaut	14,475	2.3%	0	Mcr	Jav	Nty	Non	Lin	Pg	Lin	Raw	Rea
390	tornado-pypy2	14,291	2.3%	0	Plt	Py	Non	Tor	Lin	Mo	Lin	Raw	Rea
391	sinatra-postgres-passenger-mri	14,195	2.3%	0	Mcr	Rby	Rac	Pas	Lin	Pg	Lin	Ful	Rea
392	sinatra-passenger-mri	14,184	2.3%	0	Mcr	Rby	Rac	Pas	Lin	My	Lin	Ful	Rea
393	coldbox-lucee	13,930	2.3%	0	Ful	cfm	Non	Non	Lin	Pg	Lin	Raw	Rea
394	ringojs-convenient	13,525	2.2%	0	Mcr	JS	Rin	Non	Lin	My	Lin	Mcr	Rea
395	macchiato	12,953	2.1%	0	Mcr	Clj	njs	Non	Lin	Pg	Lin	Raw	Rea
396	bottle-pypy2	12,480	2.0%	0	Mcr	Py	Tor	Non	Lin	My	Lin	Ful	Rea
397	mojolicious	12,270	2.0%	0	Ful	Prl	Non	Hyp	Lin	Pg	Lin	Raw	Rea
398	angel3	12,078	2.0%	0	Ful	Dar	ang	Non	Lin	Pg	Lin	Mcr	Rea
399	tornado-py3	11,745	1.9%	0	Plt	Py	Non	Tor	Lin	Mo	Lin	Raw	Rea
400	fuel	11,334	1.8%	0	Mcr	PHP	fpm	ngx	Lin	My	Lin	Raw	Rea
401	officefloor-async	10,647	1.7%	0	Ful	Jav	off	woo	Lin	Pg	Lin	Raw	Rea
402	flask-pypy-raw	10,534	1.7%	0	Mcr	Py	Mei	Non	Lin	Pg	Lin	Raw	Rea
403	cakephp	10,524	1.7%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
404	web2py-optimized	10,475	1.7%	0	Ful	Py	Mei	Non	Lin	My	Lin	Ful	Rea
405	turbogears	10,458	1.7%	0	Mcr	Py	Non	Mei	Lin	My	Lin	Ful	Rea
406	bottle	10,453	1.7%	0	Mcr	Py	Mei	Non	Lin	My	Lin	Ful	Rea
407	 rails	9,925	1.6%	0	Ful	Rby	Rac	Pum	Lin	Pg	Lin	Ful	Rea
408	micronaut-graalvm	9,640	1.6%	0	Mcr	Jav	Nty	Non	Lin	Pg	Lin	Raw	Rea
409	 rails-mysql	9,478	1.5%	0	Ful	Rby	Rac	Pum	Lin	My	Lin	Ful	Rea
410	opium	9,431	1.5%	0	Mcr	oca	htt	Non	Lin	Pg	Lin	Mcr	Rea
411	lumen	9,254	1.5%	0	Mcr	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
412	urweb-mysql	8,705	1.4%	0	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea
413	falcon [pypy3]	8,564	1.4%	252	Mcr	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea
414	 laravel	8,437	1.4%	0	Ful	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
415	hapi	8,137	1.3%	0	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea
416	coldbox-adobe	8,064	1.3%	0	Ful	cfm	Non	Non	Lin	Pg	Lin	Raw	Rea
417	tornado	7,922	1.3%	0	Plt	Py	Non	Tor	Lin	Mo	Lin	Raw	Rea
418	quart	6,574	1.1%	0	Mcr	Py	Non	hyp	Lin	Pg	Lin	Raw	Rea
419	feathersjs	5,805	0.9%	0	Ful	typ	Non	Non	Lin	Pg	Lin	Ful	Rea
420	web2py	5,706	0.9%	0	Ful	Py	Mei	Non	Lin	My	Lin	Ful	Rea
421	 express-mongodb	5,469	0.9%	0	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea
422	urweb	5,463	0.9%	0	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea
423	hapi-nginx	5,093	0.8%	0	Mcr	JS	njs	ngx	Lin	Pg	Lin	Ful	Rea
424	koa	4,827	0.8%	0	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea
425	reactphp	4,029	0.7%	0	Plt	PHP	rea	Non	Lin	My	Lin	Raw	Rea
426	nim-stdlib	3,794	0.6%	0	Plt	Nim	asy	Non	Lin	Pg	Lin	Raw	Rea
427	deno	3,373	0.5%	0	Plt	typ	den	Non	Lin	Mo	Lin	Raw	Rea
428	padrino-unicorn	3,295	0.5%	0	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea
429	officefloor-spring_data	2,465	0.4%	0	Ful	Jav	off	woo	Lin	Pg	Lin	Ful	Rea
430	padrino	2,397	0.4%	0	Mcr	Rby	Rac	Pum	Lin	My	Lin	Ful	Rea
431	flask	1,869	0.3%	56	Mcr	Py	Mei	Non	Lin	Pg	Lin	Ful	Rea
432	flask	1,638	0.3%	504	Mcr	Py	Non	Mei	Lin	Pg	Lin	Ful	Rea
433	phpixie	1,548	0.3%	53,968	Ful	PHP	fpm	ngx	Lin	My	Lin	Ful	Rea
434	falcon [bjoern]	1,085	0.2%	0	Mcr	Py	Wsg	bjo	Lin	Pg	Lin	Ful	Rea
435	swi-prolog	825	0.1%	4,384	non	pro	Non	swi	Lin	Pg	Lin	Raw	Rea
436	 laravel-roadrunner	471	0.1%	0	Ful	PHP	roa	Non	Lin	My	Lin	Ful	Rea
437	falcon [waitress]	397	0.1%	0	Mcr	Py	Wsg	wai	Lin	Pg	Lin	Ful	Rea
438	plumber	198	0.0%	0	Ful	r	Non	Non	Lin	Pg	Lin	Raw	Rea
439	rocket	1	0.0%	517,599	Ful	rs	rs	hyp	Lin	Pg	Lin	Ful	Rea
440	act-eclipselink-mysql	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	My	Lin	Ful	Rea
441	act-eclipselink-mysql-rythm	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	My	Lin	Ful	Rea
442	act-eclipselink-pgsql	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Pg	Lin	Ful	Rea
443	act-eclipselink-pgsql-rythm	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Pg	Lin	Ful	Rea
444	act-hibernate-mysql	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	My	Lin	Ful	Rea
445	act-hibernate-mysql-rythm	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	My	Lin	Ful	Rea
446	act-hibernate-pgsql	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Pg	Lin	Ful	Rea
447	act-hibernate-pgsql-rythm	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Pg	Lin	Ful	Rea
448	act-morphia-mongo	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Mo	Lin	Ful	Rea
449	act-morphia-mongo-rythm	—	Did not complete	—	Ful	Jav	Utw	Non	Lin	Mo	Lin	Ful	Rea
450	aioworkers	—	Did not complete	—	Plt	Py	Non	aio	Lin	Pg	Lin	Raw	Rea
451	amber	—	Did not complete	—	Ful	Cry	Non	Non	Lin	Pg	Lin	Ful	Rea
452	crax	—	Did not complete	—	Mcr	Py	Non	Non	Lin	Pg	Lin	Raw	Rea
453	jewelia	—	Did not complete	—	non	jul	Non	htt	Lin	My	Lin	Raw	Rea
454	klein	—	Did not complete	—	Mcr	Py	Non	Twi	Lin	My	Lin	Ful	Rea
455	cherrypy	—	Did not complete	—	Mcr	Py	Non	Non	Lin	My	Lin	Ful	Rea
456	cherrypy-py3	—	Did not complete	—	Mcr	Py	Non	Non	Lin	My	Lin	Ful	Rea
457	pronghorn	—	Did not complete	—	Plt	Kot	pro	Non	Lin	Mo	Lin	Raw	Rea
458	sailsjs	—	Did not complete	—	Ful	JS	njs	Non	Lin	My	Lin	Mcr	Rea
459	sailsjs-postgres	—	Did not complete	—	Ful	JS	njs	Non	Lin	Pg	Lin	Ful	Rea
460	sinatra	—	Did not complete	—	Mcr	Rby	Rac	Pum	Lin	My	Lin	Ful	Rea
461	sinatra-postgres	—	Did not complete	—	Mcr	Rby	Rac	Pum	Lin	Pg	Lin	Ful	Rea
462	spider-gazelle	—	Did not complete	—	Ful	Cry	Non	Non	Lin	Pg	Lin	Ful	Rea
463	 spring-webflux-rxjdbc	—	Did not complete	—	Ful	Jav	Nty	Non	Lin	Pg	Lin	Mcr	Rea
464	routerling	—	Did not complete	—	Plt	Py	Non	Non	Lin	Pg	Lin	Raw	Rea

